"id","country_id","parent_id:id","name"
"concelho_boticas","Portugal","distrito_vila_real","Boticas"
"concelho_chaves","Portugal","distrito_vila_real","Chaves"
"concelho_mesao_frio","Portugal","distrito_vila_real","Mesão Frio"
"concelho_mondim_de_basto","Portugal","distrito_vila_real","Mondim de Basto"
"concelho_montalegre","Portugal","distrito_vila_real","Montalegre"
"concelho_murca","Portugal","distrito_vila_real","Murça"
"concelho_peso_da_regua","Portugal","distrito_vila_real","Peso da Régua"
"concelho_ribeira_de_pena","Portugal","distrito_vila_real","Ribeira de Pena"
"concelho_sabrosa","Portugal","distrito_vila_real","Sabrosa"
"concelho_santa_marta_de_penaguiao","Portugal","distrito_vila_real","Santa Marta de Penaguião"
"concelho_valpacos","Portugal","distrito_vila_real","Valpaços"
"concelho_vila_pouca_de_aguiar","Portugal","distrito_vila_real","Vila Pouca de Aguiar"
"concelho_vila_real","Portugal","distrito_vila_real","Vila Real"
"concelho_armamar","Portugal","distrito_viseu","Armamar"
"concelho_carregal_do_sal","Portugal","distrito_viseu","Carregal do Sal"
"concelho_castro_daire","Portugal","distrito_viseu","Castro Daire"
"concelho_cinfaes","Portugal","distrito_viseu","Cinfães"
"concelho_lamego","Portugal","distrito_viseu","Lamego"
"concelho_mangualde","Portugal","distrito_viseu","Mangualde"
"concelho_moimenta_da_beira","Portugal","distrito_viseu","Moimenta da Beira"
"concelho_mortagua","Portugal","distrito_viseu","Mortágua"
"concelho_nelas","Portugal","distrito_viseu","Nelas"
"concelho_oliveira_de_frades","Portugal","distrito_viseu","Oliveira de Frades"
"concelho_penalva_do_castelo","Portugal","distrito_viseu","Penalva do Castelo"
"concelho_penedono","Portugal","distrito_viseu","Penedono"
"concelho_resende","Portugal","distrito_viseu","Resende"
"concelho_santa_comba_dao","Portugal","distrito_viseu","Santa Comba Dão"
"concelho_sao_joao_da_pesqueira","Portugal","distrito_viseu","São João da Pesqueira"
"concelho_sao_pedro_do_sul","Portugal","distrito_viseu","São Pedro do Sul"
"concelho_satao","Portugal","distrito_viseu","Sátão"
"concelho_sernancelhe","Portugal","distrito_viseu","Sernancelhe"
"concelho_tabuaco","Portugal","distrito_viseu","Tabuaço"
"concelho_tarouca","Portugal","distrito_viseu","Tarouca"
"concelho_tondela","Portugal","distrito_viseu","Tondela"
"concelho_vila_nova_de_paiva","Portugal","distrito_viseu","Vila Nova de Paiva"
"concelho_viseu","Portugal","distrito_viseu","Viseu"
"concelho_vouzela","Portugal","distrito_viseu","Vouzela"
"concelho_almodovar","Portugal","distrito_beja","Almodôvar"
"freguesia_almagreira","Portugal","concelho_vila_do_porto","Almagreira"
"freguesia_santa_barbara","Portugal","concelho_vila_do_porto","Santa Bárbara"
"freguesia_santo_espirito","Portugal","concelho_vila_do_porto","Santo Espírito"
"freguesia_sao_pedro","Portugal","concelho_vila_do_porto","São Pedro"
"freguesia_vila_do_porto","Portugal","concelho_vila_do_porto","Vila do Porto"
"freguesia_vila_de_agua_de_pau","Portugal","concelho_lagoa","Vila de Água de Pau"
"freguesia_cabouco","Portugal","concelho_lagoa","Cabouco"
"freguesia_rosario","Portugal","concelho_lagoa","Rosário"
"freguesia_ribeira_cha","Portugal","concelho_lagoa","Ribeira Chã"
"freguesia_santa_cruz","Portugal","concelho_lagoa","Santa Cruz"
"freguesia_achada","Portugal","concelho_nordeste","Achada"
"freguesia_achadinha","Portugal","concelho_nordeste","Achadinha"
"freguesia_algarvia","Portugal","concelho_nordeste","Algarvia"
"freguesia_lomba_da_fazenda","Portugal","concelho_nordeste","Lomba da Fazenda"
"freguesia_nordeste","Portugal","concelho_nordeste","Nordeste"
"freguesia_salga","Portugal","concelho_nordeste","Salga"
"freguesia_santana","Portugal","concelho_nordeste","Santana"
"freguesia_santo_antonio_de_nordestinho","Portugal","concelho_nordeste","Santo António de Nordestinho"
"freguesia_sao_pedro_de_nordestinho","Portugal","concelho_nordeste","São Pedro de Nordestinho"
"freguesia_ajuda_da_bretanha","Portugal","concelho_ponta_delgada","Ajuda da Bretanha"
"freguesia_arrifes","Portugal","concelho_ponta_delgada","Arrifes"
"freguesia_candelaria","Portugal","concelho_ponta_delgada","Candelária"
"freguesia_vila_das_capelas","Portugal","concelho_ponta_delgada","Vila das Capelas"
"freguesia_covoada","Portugal","concelho_ponta_delgada","Covoada"
"freguesia_faja_de_baixo","Portugal","concelho_ponta_delgada","Fajã de Baixo"
"freguesia_faja_de_cima","Portugal","concelho_ponta_delgada","Fajã de Cima"
"freguesia_fenais_da_luz","Portugal","concelho_ponta_delgada","Fenais da Luz"
"freguesia_feteiras","Portugal","concelho_ponta_delgada","Feteiras"
"freguesia_ginetes","Portugal","concelho_ponta_delgada","Ginetes"
"freguesia_livramento","Portugal","concelho_ponta_delgada","Livramento"
"freguesia_mosteiros","Portugal","concelho_ponta_delgada","Mosteiros"
"freguesia_pilar_da_bretanha","Portugal","concelho_ponta_delgada","Pilar da Bretanha"
"freguesia_relva","Portugal","concelho_ponta_delgada","Relva"
"freguesia_remedios","Portugal","concelho_ponta_delgada","Remédios"
"freguesia_santa_barbara","Portugal","concelho_ponta_delgada","Santa Bárbara"
"freguesia_santa_clara","Portugal","concelho_ponta_delgada","Santa Clara"
"freguesia_santo_antonio","Portugal","concelho_ponta_delgada","Santo António"
"freguesia_sao_jose","Portugal","concelho_ponta_delgada","São José"
"freguesia_sao_pedro","Portugal","concelho_ponta_delgada","São Pedro"
"freguesia_sao_roque","Portugal","concelho_ponta_delgada","São Roque"
"freguesia_sao_sebastiao","Portugal","concelho_ponta_delgada","São Sebastião"
"freguesia_sao_vicente_ferreira","Portugal","concelho_ponta_delgada","São Vicente Ferreira"
"freguesia_sete_cidades","Portugal","concelho_ponta_delgada","Sete Cidades"
"freguesia_agua_retorta","Portugal","concelho_vila_da_povoacao","Água Retorta"
"freguesia_faial_da_terra","Portugal","concelho_vila_da_povoacao","Faial da Terra"
