"distrito_id:id","id","name"
"distrito_porto","concelho_matosinhos","Matosinhos"
"distrito_porto","concelho_pacos_de_ferreira","Paços de Ferreira"
"distrito_porto","concelho_paredes","Paredes"
"distrito_porto","concelho_penafiel","Penafiel"
"distrito_porto","concelho_porto","Porto"
"distrito_porto","concelho_povoa_de_varzim","Póvoa de Varzim"
"distrito_porto","concelho_santo_tirso","Santo Tirso"
"distrito_porto","concelho_trofa","Trofa"
"distrito_porto","concelho_valongo","Valongo"
"distrito_porto","concelho_vila_do_conde","Vila do Conde"
"distrito_porto","concelho_vila_nova_de_gaia","Vila Nova de Gaia"
"distrito_santarem","concelho_abrantes","Abrantes"
"distrito_santarem","concelho_alcanena","Alcanena"
"distrito_santarem","concelho_almeirim","Almeirim"
"distrito_santarem","concelho_alpiarca","Alpiarça"
"distrito_santarem","concelho_benavente","Benavente"
"distrito_santarem","concelho_cartaxo","Cartaxo"
"distrito_santarem","concelho_chamusca","Chamusca"
"distrito_santarem","concelho_constancia","Constância"
"distrito_santarem","concelho_coruche","Coruche"
"distrito_santarem","concelho_entroncamento","Entroncamento"
"distrito_santarem","concelho_ferreira_do_zezere","Ferreira do Zêzere"
"distrito_santarem","concelho_golega","Golegã"
"distrito_santarem","concelho_macao","Mação"
"distrito_santarem","concelho_ourem","Ourém"
"distrito_santarem","concelho_rio_maior","Rio Maior"
"distrito_santarem","concelho_salvaterra_de_magos","Salvaterra de Magos"
"distrito_santarem","concelho_santarem","Santarém"
"distrito_santarem","concelho_sardoal","Sardoal"
"distrito_santarem","concelho_tomar","Tomar"
"distrito_santarem","concelho_torres_novas","Torres Novas"
"distrito_santarem","concelho_vila_nova_da_barquinha","Vila Nova da Barquinha"
"distrito_setubal","concelho_alcacer_do_sal","Alcácer do Sal"
"distrito_setubal","concelho_alcochete","Alcochete"
"distrito_setubal","concelho_almada","Almada"
"distrito_setubal","concelho_barreiro","Barreiro"
"distrito_setubal","concelho_grandola","Grândola"
"distrito_setubal","concelho_moita","Moita"
"distrito_setubal","concelho_montijo","Montijo"
"distrito_setubal","concelho_palmela","Palmela"
"distrito_setubal","concelho_santiago_do_cacem","Santiago do Cacém"
"distrito_setubal","concelho_seixal","Seixal"
"distrito_setubal","concelho_sesimbra","Sesimbra"
"distrito_setubal","concelho_setubal","Setúbal"
"distrito_setubal","concelho_sines","Sines"
"distrito_viana_castelo","concelho_arcos_de_valdevez","Arcos de Valdevez"
"distrito_viana_castelo","concelho_caminha","Caminha"
"distrito_viana_castelo","concelho_melgaco","Melgaço"
"distrito_viana_castelo","concelho_moncao","Monção"
"distrito_viana_castelo","concelho_paredes_de_coura","Paredes de Coura"
"distrito_viana_castelo","concelho_ponte_da_barca","Ponte da Barca"
"distrito_viana_castelo","concelho_ponte_de_lima","Ponte de Lima"
"distrito_viana_castelo","concelho_valenca","Valença"
"distrito_viana_castelo","concelho_viana_do_castelo","Viana do Castelo"
"distrito_viana_castelo","concelho_vila_nova_de_cerveira","Vila Nova de Cerveira"
"distrito_vila_real","concelho_alijo","Alijó"
"distrito_vila_real","concelho_boticas","Boticas"
"distrito_vila_real","concelho_chaves","Chaves"
"distrito_vila_real","concelho_mesao_frio","Mesão Frio"
"distrito_vila_real","concelho_mondim_de_basto","Mondim de Basto"
"distrito_vila_real","concelho_montalegre","Montalegre"
"distrito_vila_real","concelho_murca","Murça"
"distrito_vila_real","concelho_peso_da_regua","Peso da Régua"
"distrito_vila_real","concelho_ribeira_de_pena","Ribeira de Pena"
"distrito_vila_real","concelho_sabrosa","Sabrosa"
"distrito_vila_real","concelho_santa_marta_de_penaguiao","Santa Marta de Penaguião"
"distrito_vila_real","concelho_valpacos","Valpaços"
"distrito_vila_real","concelho_vila_pouca_de_aguiar","Vila Pouca de Aguiar"
"distrito_vila_real","concelho_vila_real","Vila Real"
"distrito_viseu","concelho_armamar","Armamar"
"distrito_viseu","concelho_carregal_do_sal","Carregal do Sal"
"distrito_viseu","concelho_castro_daire","Castro Daire"
"distrito_viseu","concelho_cinfaes","Cinfães"
"distrito_viseu","concelho_lamego","Lamego"
"distrito_viseu","concelho_mangualde","Mangualde"
"distrito_viseu","concelho_moimenta_da_beira","Moimenta da Beira"
"distrito_viseu","concelho_mortagua","Mortágua"
"distrito_viseu","concelho_nelas","Nelas"
"distrito_viseu","concelho_oliveira_de_frades","Oliveira de Frades"
"distrito_viseu","concelho_penalva_do_castelo","Penalva do Castelo"
"distrito_viseu","concelho_penedono","Penedono"
"distrito_viseu","concelho_resende","Resende"
"distrito_viseu","concelho_santa_comba_dao","Santa Comba Dão"
"distrito_viseu","concelho_sao_joao_da_pesqueira","São João da Pesqueira"
"distrito_viseu","concelho_sao_pedro_do_sul","São Pedro do Sul"
"distrito_viseu","concelho_satao","Sátão"
"distrito_viseu","concelho_sernancelhe","Sernancelhe"
"distrito_viseu","concelho_tabuaco","Tabuaço"
"distrito_viseu","concelho_tarouca","Tarouca"
"distrito_viseu","concelho_tondela","Tondela"
"distrito_viseu","concelho_vila_nova_de_paiva","Vila Nova de Paiva"
"distrito_viseu","concelho_viseu","Viseu"
"distrito_viseu","concelho_vouzela","Vouzela"
"distrito_beja","concelho_almodovar","Almodôvar"
